"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Max Scherzer","Nationals","9","5","0","19","19","129.1","12.60","1.60","0.63",".322","80.7 %","42.1 %","8.0 %","2.30","2.03","2.83","5.5","3137"
"Lance Lynn","Rangers","12","5","0","20","20","128.0","9.84","2.04","0.77",".333","72.8 %","42.6 %","8.6 %","3.87","2.93","3.78","4.5","2520"
"Gerrit Cole","Astros","10","5","0","21","21","129.2","13.47","2.29","1.46",".300","79.7 %","41.6 %","20.8 %","3.12","3.15","2.58","3.6","13125"
"Jacob deGrom","Mets","5","7","0","20","20","122.0","11.36","2.29","1.03",".306","81.2 %","41.5 %","12.8 %","3.02","3.05","3.32","3.6","10954"
"Stephen Strasburg","Nationals","12","4","0","20","20","127.2","10.64","2.26","0.92",".296","73.3 %","51.4 %","14.0 %","3.52","3.08","3.19","3.6","10131"
"Charlie Morton","Rays","11","3","0","21","21","124.1","11.00","2.97","0.72",".278","79.0 %","51.5 %","11.6 %","2.61","2.96","3.28","3.6","4676"
"Hyun-Jin Ryu","Dodgers","11","2","0","19","19","123.0","8.20","1.02","0.73",".270","86.4 %","52.2 %","11.9 %","1.76","2.85","3.14","3.6","14444"
"Lucas Giolito","White Sox","11","4","0","19","19","112.2","10.70","3.20","0.80",".275","75.9 %","38.7 %","9.1 %","3.12","3.15","3.92","3.6","15474"
"Zack Greinke","Diamondbacks","10","4","0","21","21","135.0","8.20","1.13","0.93",".268","77.2 %","43.5 %","11.6 %","2.93","3.20","3.61","3.4","1943"
"Shane Bieber","Indians","9","3","0","21","20","124.1","11.29","2.03","1.23",".287","72.8 %","45.2 %","16.5 %","3.69","3.29","3.15","3.4","19427"
"Brandon Woodruff","Brewers","11","3","0","19","19","114.2","10.44","2.12","0.86",".319","75.3 %","43.9 %","11.5 %","3.53","2.99","3.39","3.2","16162"
"Patrick Corbin","Nationals","7","5","0","20","20","124.1","10.42","2.68","1.01",".300","74.4 %","46.1 %","12.4 %","3.40","3.31","3.64","3.1","9323"
"Matthew Boyd","Tigers","6","8","0","20","20","120.0","12.00","1.80","1.58",".317","75.3 %","36.5 %","16.5 %","4.13","3.56","3.37","3.1","15440"
"Chris Sale","Red Sox","4","9","0","20","20","117.2","13.16","2.22","1.30",".314","69.4 %","44.1 %","17.5 %","4.05","3.23","2.97","3.1","10603"
"Jose Berrios","Twins","8","5","0","20","20","127.2","8.04","2.04","1.06",".282","79.1 %","41.6 %","10.7 %","2.96","3.84","4.47","3.0","14168"
"Walker Buehler","Dodgers","8","1","0","18","18","110.0","9.82","1.39","1.15",".275","66.7 %","42.2 %","13.1 %","3.44","3.19","3.45","2.8","19374"
"Mike Soroka","Braves","10","2","0","17","17","102.1","7.56","2.11","0.44",".280","77.7 %","56.4 %","7.9 %","2.46","3.09","3.67","2.7","18383"
"Mike Minor","Rangers","8","5","0","20","20","129.0","9.14","3.14","1.19",".272","87.0 %","43.0 %","13.0 %","2.86","4.09","4.38","2.7","10021"
"Justin Verlander","Astros","12","4","0","21","21","138.2","11.16","1.88","1.82",".199","90.5 %","34.0 %","18.3 %","2.99","4.08","3.63","2.7","8700"
"German Marquez","Rockies","8","5","0","21","21","130.0","8.86","1.94","1.32",".323","64.7 %","50.7 %","17.9 %","5.12","3.92","3.63","2.7","15038"
"Zack Wheeler","Mets","6","6","0","19","19","119.0","9.83","2.57","1.21",".313","65.9 %","44.5 %","13.7 %","4.69","3.67","3.86","2.6","10310"
"Sonny Gray","Reds","5","6","0","19","19","103.1","10.45","3.14","0.96",".279","75.1 %","55.5 %","15.1 %","3.40","3.36","3.37","2.6","12768"
"Noah Syndergaard","Mets","7","4","0","19","19","119.2","8.87","2.33","1.05",".309","68.0 %","47.4 %","12.3 %","4.36","3.68","4.03","2.6","11762"
"Clayton Kershaw","Dodgers","8","2","0","17","17","111.0","8.76","1.54","1.14",".270","80.5 %","51.7 %","15.6 %","2.84","3.46","3.42","2.6","2036"
"Marcus Stroman","Blue Jays","6","10","0","20","20","117.2","7.11","2.60","0.76",".294","73.7 %","57.1 %","10.8 %","3.06","3.62","4.07","2.6","13431"
"Luis Castillo","Reds","9","3","0","20","20","118.0","10.53","4.35","0.84",".237","84.0 %","56.1 %","14.9 %","2.36","3.73","3.75","2.4","15689"
"Joe Musgrove","Pirates","7","8","0","21","20","110.1","7.99","2.28","0.90",".292","64.7 %","43.9 %","9.3 %","4.08","3.70","4.51","2.3","12970"
"Cole Hamels","Cubs","6","3","0","17","17","99.2","8.76","3.16","0.81",".284","78.8 %","51.1 %","10.7 %","2.98","3.60","4.08","2.3","4972"
"Trevor Bauer","Indians","9","7","0","22","22","144.2","10.58","3.48","1.37",".266","75.9 %","38.5 %","15.2 %","3.67","4.30","4.30","2.3","12703"
"Madison Bumgarner","Giants","5","7","0","21","21","125.2","9.10","1.86","1.22",".307","72.0 %","37.4 %","13.1 %","3.65","3.70","3.98","2.2","5524"
"Kyle Hendricks","Cubs","7","7","0","17","17","101.1","7.99","1.87","1.07",".290","72.5 %","41.0 %","11.2 %","3.46","3.76","4.30","2.2","12049"
"Masahiro Tanaka","Yankees","7","5","0","20","20","117.0","7.54","2.00","1.46",".270","73.6 %","48.3 %","16.5 %","4.00","4.38","4.21","2.2","15764"
"Jake Odorizzi","Twins","11","4","0","19","19","99.0","9.18","3.09","1.09",".264","79.4 %","32.9 %","9.9 %","3.18","3.88","4.72","2.2","6397"
"Kyle Gibson","Twins","9","4","0","20","19","105.1","9.06","2.48","1.28",".297","70.4 %","48.5 %","18.8 %","4.02","4.06","3.71","2.1","10123"
"Martin Perez","Twins","8","3","0","19","16","101.0","7.93","3.65","0.71",".296","66.5 %","49.5 %","9.9 %","4.10","3.80","4.35","2.1","6902"
"Jon Gray","Rockies","9","7","0","21","20","120.1","9.27","3.37","1.27",".325","77.3 %","48.3 %","18.7 %","4.11","4.20","3.85","2.0","14916"
"Marco Gonzales","Mariners","10","8","0","21","21","120.2","6.49","2.46","1.04",".304","63.3 %","39.1 %","9.0 %","4.48","4.24","5.28","2.0","15467"
"Jose Quintana","Cubs","8","7","0","20","19","112.0","7.63","2.65","1.21",".311","70.5 %","43.9 %","13.4 %","4.42","4.15","4.38","1.9","11423"
"Spencer Turnbull","Tigers","3","9","0","19","19","98.2","8.03","3.47","0.82",".305","72.1 %","49.0 %","9.7 %","3.65","4.06","4.73","1.8","16207"
"Jon Lester","Cubs","9","6","0","19","19","107.0","8.83","1.93","1.51",".327","74.1 %","44.1 %","15.8 %","3.87","4.21","4.12","1.8","4930"
"Mike Fiers","Athletics","9","3","0","21","21","121.0","5.80","2.60","1.12",".243","75.6 %","39.9 %","10.3 %","3.64","4.59","5.36","1.7","7754"
"Aaron Nola","Phillies","8","2","0","21","21","121.2","10.21","3.77","1.33",".298","79.7 %","48.0 %","18.2 %","3.77","4.29","3.97","1.7","16149"
"Robbie Ray","Diamondbacks","8","6","0","21","21","117.0","11.69","4.38","1.46",".286","76.1 %","39.6 %","18.4 %","3.92","4.25","3.88","1.7","11486"
"Michael Pineda","Twins","6","5","0","18","18","98.2","7.94","1.46","1.46",".293","70.4 %","36.6 %","13.3 %","4.38","4.18","4.47","1.6","5372"
"Tanner Roark","Reds","5","6","0","19","19","102.0","8.91","2.91","1.24",".326","78.1 %","36.7 %","13.5 %","3.97","4.26","4.49","1.6","8753"
"Max Fried","Braves","10","4","0","21","19","103.2","8.86","2.69","1.13",".338","76.9 %","53.8 %","20.3 %","4.08","3.87","3.46","1.6","13743"
"Merrill Kelly","Diamondbacks","7","9","0","20","20","117.0","7.08","2.38","1.23",".277","74.8 %","41.9 %","12.2 %","3.77","4.25","4.68","1.6","11156"
"Eduardo Rodriguez","Red Sox","11","4","0","20","20","116.0","9.31","2.87","1.40",".308","74.7 %","44.3 %","15.4 %","4.34","4.23","4.21","1.6","13164"
"Andrew Cashner","- - -","9","4","0","18","18","101.1","6.04","2.75","1.15",".260","69.9 %","48.9 %","11.7 %","4.09","4.53","5.02","1.6","8782"
"Brad Keller","Royals","6","9","0","21","21","125.0","6.55","4.10","0.72",".287","72.4 %","51.8 %","10.0 %","4.18","4.39","4.93","1.6","15734"
"Yonny Chirinos","Rays","8","5","0","20","14","112.0","7.79","1.93","1.37",".243","77.3 %","43.2 %","16.3 %","3.29","4.19","4.05","1.5","16401"
"Zach Davies","Brewers","8","2","0","20","20","109.2","5.58","2.87","0.90",".289","79.8 %","40.5 %","9.0 %","2.79","4.30","5.19","1.5","13183"
"Tyler Mahle","Reds","2","10","0","19","19","102.1","9.32","2.29","1.58",".322","67.7 %","45.6 %","19.6 %","4.93","4.32","3.81","1.5","16358"
"Kenta Maeda","Dodgers","7","6","0","20","19","104.1","9.14","2.93","1.38",".228","77.0 %","38.4 %","14.3 %","3.71","4.25","4.37","1.5","18498"
"Wade Miley","Astros","8","4","0","20","20","113.2","7.44","2.85","1.35",".241","80.4 %","52.6 %","16.2 %","3.25","4.55","4.42","1.4","8779"
"Joey Lucchesi","Padres","7","5","0","19","19","105.1","8.46","2.65","1.20",".273","69.6 %","48.0 %","13.1 %","4.27","3.99","4.26","1.4","19320"
"Miles Mikolas","Cardinals","6","10","0","20","20","114.1","6.45","1.50","1.34",".302","74.7 %","50.7 %","17.2 %","4.17","4.38","4.15","1.4","9803"
"Zach Eflin","Phillies","7","10","0","19","19","110.0","7.45","2.21","1.47",".299","74.5 %","40.9 %","14.0 %","4.25","4.57","4.76","1.3","13774"
"Daniel Norris","Tigers","2","8","0","20","17","100.1","7.36","2.33","1.52",".330","71.4 %","44.4 %","15.7 %","5.02","4.63","4.55","1.3","13475"
"Adam Wainwright","Cardinals","6","7","0","18","18","98.0","8.54","3.40","1.19",".315","74.1 %","49.1 %","16.5 %","4.50","4.37","4.23","1.2","2233"
"Rick Porcello","Red Sox","8","7","0","20","20","110.2","7.08","2.60","1.46",".314","63.7 %","39.2 %","11.8 %","5.61","4.72","5.33","1.2","2717"
"Jack Flaherty","Cardinals","4","6","0","19","19","104.0","9.95","3.03","1.73",".270","75.8 %","37.0 %","19.0 %","4.41","4.58","4.07","1.2","17479"
"Mike Leake","Mariners","8","8","0","20","20","124.1","6.59","1.38","1.74",".286","70.3 %","46.3 %","17.0 %","4.27","4.80","4.53","1.1","10130"
"J.A. Happ","Yankees","8","5","0","19","19","100.0","7.56","2.25","1.89",".292","76.3 %","41.7 %","17.1 %","4.86","5.12","4.81","1.1","7410"
"Brett Anderson","Athletics","9","5","0","20","20","115.1","4.45","2.73","1.09",".260","75.9 %","53.4 %","13.7 %","3.82","4.83","4.99","1.1","8223"
"Reynaldo Lopez","White Sox","5","8","0","20","20","111.0","8.19","3.32","1.86",".319","68.4 %","33.5 %","14.6 %","5.76","5.32","5.41","1.0","16400"
"Julio Teheran","Braves","5","6","0","21","21","112.1","8.17","4.17","1.04",".261","77.5 %","40.1 %","10.7 %","3.61","4.57","5.21","1.0","6797"
"Trevor Richards","Marlins","3","11","0","19","19","104.0","8.05","4.15","1.21",".285","77.3 %","35.8 %","10.9 %","4.24","4.72","5.39","1.0","19309"
"Jakob Junis","Royals","6","8","0","21","21","119.1","8.67","3.24","1.58",".303","71.5 %","45.1 %","16.8 %","4.83","4.82","4.59","1.0","13619"
"Sandy Alcantara","Marlins","4","9","0","19","19","112.1","6.41","4.17","1.04",".289","72.1 %","45.5 %","10.9 %","4.25","4.83","5.41","0.9","18684"
"Jake Arrieta","Phillies","8","7","0","20","20","118.2","6.90","3.34","1.37",".309","76.1 %","52.4 %","19.4 %","4.40","4.95","4.53","0.8","4153"
"Jeff Samardzija","Giants","7","8","0","20","20","110.1","7.83","2.37","1.47",".263","71.3 %","36.1 %","12.9 %","4.08","4.56","4.92","0.8","3254"
"Yu Darvish","Cubs","3","4","0","20","20","109.0","10.40","4.13","1.65",".252","75.7 %","46.5 %","22.7 %","4.46","4.90","4.10","0.7","13074"
"Ivan Nova","White Sox","4","9","0","20","20","110.2","5.86","2.52","1.79",".339","69.3 %","46.4 %","19.6 %","5.86","5.46","4.87","0.5","1994"
"Yusei Kikuchi","Mariners","4","6","0","20","20","102.1","6.68","3.25","1.76",".294","68.0 %","44.7 %","17.2 %","5.01","5.48","5.18","0.4","20633"
"Dakota Hudson","Cardinals","9","4","1","20","19","103.1","6.62","4.09","1.31",".297","75.7 %","59.1 %","23.1 %","3.57","5.15","4.50","0.4","19206"
"Aaron Sanchez","Blue Jays","3","14","0","21","21","102.0","7.32","5.21","1.32",".333","66.5 %","47.4 %","16.0 %","6.26","5.51","5.41","0.3","11490"
