Season,data_type,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2009,team_batter,Rays,2345,6223,199,803,765,194,0.103,0.197,0.177,0.303,0.263,0.343,0.439,0.342,109,21.6,90.5,40.2,35
2009,team_batter,Yankees,2369,6449,244,915,881,111,0.103,0.157,0.194,0.306,0.283,0.362,0.478,0.365,117,0.2,137.5,-21.4,34.4
2009,team_batter,Phillies,2285,6338,224,820,788,119,0.093,0.182,0.189,0.286,0.258,0.334,0.447,0.339,103,20,42.5,80.3,32
2009,team_batter,Angels,2246,6305,173,883,841,148,0.087,0.167,0.156,0.322,0.285,0.35,0.441,0.346,108,8.6,75.5,-4.1,29.4
2009,team_batter,Dodgers,2352,6385,145,780,739,116,0.095,0.167,0.141,0.309,0.27,0.346,0.412,0.332,102,4,18.7,56.2,27.4
2009,team_batter,Brewers,2321,6296,182,785,757,68,0.097,0.196,0.164,0.305,0.263,0.341,0.426,0.336,103,-9.6,10.2,43.2,25
2009,team_batter,Red Sox,2317,6344,212,872,822,126,0.104,0.177,0.184,0.301,0.27,0.352,0.454,0.351,106,-7.7,40.7,-21.2,24.3
2009,team_batter,Cardinals,2358,6168,160,730,694,75,0.086,0.169,0.152,0.296,0.263,0.332,0.415,0.325,98,13.4,-1.6,52.1,24.3
2009,team_batter,Braves,2335,6335,149,735,700,58,0.095,0.168,0.142,0.3,0.263,0.339,0.405,0.327,97,-20.2,-44.2,76.4,23
2009,team_batter,Twins,2315,6346,172,817,770,85,0.092,0.161,0.155,0.306,0.274,0.345,0.429,0.338,104,15.3,42.9,-44.4,22.2
2009,team_batter,Reds,2314,6187,158,673,637,96,0.086,0.182,0.147,0.282,0.247,0.318,0.394,0.313,84,5.2,-118.5,123.3,19.8
2009,team_batter,Blue Jays,2202,6362,209,798,766,73,0.086,0.162,0.174,0.29,0.266,0.333,0.44,0.337,101,12.2,21.5,-58.3,18.8
2009,team_batter,Rockies,2352,6241,190,804,760,106,0.106,0.205,0.18,0.305,0.261,0.343,0.441,0.341,96,5.3,-29.7,21.6,18.7
2009,team_batter,Marlins,2394,6312,159,772,727,75,0.09,0.194,0.148,0.316,0.268,0.34,0.416,0.332,97,4.5,-16.7,5.6,18.6
2009,team_batter,Rangers,2158,6127,224,784,748,149,0.077,0.205,0.185,0.296,0.26,0.32,0.445,0.331,92,9.1,-49.8,17.5,18.4
2009,team_batter,Diamondbacks,2301,6269,173,720,686,102,0.091,0.207,0.165,0.299,0.253,0.324,0.418,0.324,89,13.1,-75.3,54.8,17.5
2009,team_batter,Giants,2304,6057,122,657,612,78,0.065,0.191,0.132,0.302,0.257,0.309,0.389,0.305,83,10,-118.1,99.6,17
2009,team_batter,Mariners,2150,6113,160,640,613,89,0.069,0.179,0.144,0.293,0.258,0.314,0.402,0.313,89,-4.5,-87,34.6,16.3
2009,team_batter,Tigers,2350,6234,183,743,718,72,0.087,0.179,0.156,0.294,0.26,0.331,0.416,0.328,94,0.4,-48.5,-21,15
2009,team_batter,Nationals,2401,6273,156,710,685,73,0.098,0.193,0.148,0.302,0.258,0.337,0.406,0.327,96,-5.7,-37.9,-8.1,15
2009,team_batter,Athletics,2306,6247,135,759,723,133,0.084,0.167,0.135,0.298,0.262,0.328,0.397,0.32,94,12.8,-38,-34,14.8
2009,team_batter,Padres,2348,6179,141,638,605,82,0.095,0.191,0.138,0.284,0.242,0.321,0.381,0.309,93,-10.4,-67.1,19.8,14.5
2009,team_batter,Indians,2188,6320,161,773,730,84,0.092,0.192,0.153,0.308,0.264,0.339,0.417,0.333,100,-1.1,-0.7,-77,14.5
2009,team_batter,Cubs,2343,6244,161,707,678,56,0.095,0.19,0.152,0.296,0.255,0.332,0.407,0.324,90,-13.2,-89.3,39.5,14.5
2009,team_batter,Mets,2377,6159,95,671,631,122,0.085,0.151,0.124,0.307,0.27,0.335,0.394,0.32,94,-5.4,-48.2,-14.3,13
2009,team_batter,Orioles,2281,6233,160,741,708,76,0.083,0.163,0.147,0.3,0.268,0.332,0.415,0.328,93,-20.1,-74.3,-23.2,12.2
2009,team_batter,Astros,2340,6040,142,643,616,113,0.074,0.164,0.14,0.293,0.26,0.319,0.4,0.315,89,-18,-99,32.3,12.2
2009,team_batter,Pirates,2195,6058,125,636,612,90,0.082,0.189,0.135,0.296,0.252,0.318,0.387,0.31,86,-6.2,-113,32.9,10.9
2009,team_batter,White Sox,2241,6132,184,724,695,113,0.087,0.167,0.153,0.285,0.258,0.329,0.411,0.326,91,-13,-84,-45.8,8.6
2009,team_batter,Royals,2247,6103,144,686,657,88,0.075,0.179,0.146,0.298,0.259,0.318,0.405,0.318,88,-18.9,-110.3,-78.8,2.6
2010,team_batter,Reds,2370,6285,188,790,761,93,0.083,0.194,0.164,0.314,0.272,0.338,0.436,0.34,106,12.7,57.2,101.3,35.8
2010,team_batter,Yankees,2313,6379,201,859,823,103,0.104,0.178,0.169,0.3,0.267,0.35,0.436,0.346,112,12.1,101.5,-27.3,31.4
2010,team_batter,Rays,2361,6270,160,802,769,172,0.107,0.206,0.156,0.293,0.247,0.333,0.403,0.326,106,37.6,78.6,-4,31
2010,team_batter,Brewers,2262,6304,182,750,710,81,0.087,0.193,0.161,0.304,0.262,0.335,0.424,0.334,104,0.6,32.4,74.7,30.5
2010,team_batter,Twins,2290,6257,142,781,749,68,0.089,0.155,0.148,0.306,0.273,0.341,0.422,0.335,106,-15.8,29.5,15.3,27.9
2010,team_batter,Giants,2354,6143,162,697,660,55,0.079,0.179,0.151,0.293,0.257,0.321,0.408,0.32,98,-18.3,-31.6,95.2,25.5
2010,team_batter,Cardinals,2347,6241,150,736,689,79,0.087,0.165,0.139,0.296,0.263,0.332,0.402,0.322,99,1.8,-6.8,60.6,24.8
2010,team_batter,Red Sox,2327,6356,211,818,782,68,0.092,0.179,0.183,0.299,0.268,0.339,0.451,0.345,109,-7.2,59.7,-49.5,24.6
2010,team_batter,Tigers,2274,6312,152,751,717,69,0.087,0.182,0.147,0.311,0.268,0.335,0.415,0.33,102,9.7,23.9,-15.7,24.3
2010,team_batter,Braves,2376,6252,139,738,699,63,0.101,0.182,0.143,0.301,0.258,0.339,0.401,0.327,100,-2.1,-2.9,46.6,23.8
2010,team_batter,Padres,2352,6148,132,665,630,124,0.088,0.192,0.125,0.29,0.246,0.317,0.371,0.304,92,9.3,-50.2,89.1,23
2010,team_batter,Blue Jays,2206,6072,257,755,732,58,0.078,0.192,0.206,0.269,0.248,0.312,0.454,0.334,105,-12.3,25.1,-21.3,22.9
2010,team_batter,Phillies,2277,6291,166,772,736,108,0.089,0.169,0.153,0.292,0.26,0.332,0.413,0.327,99,13.3,5.5,26.5,22.7
2010,team_batter,Diamondbacks,2271,6183,180,713,691,86,0.095,0.247,0.166,0.312,0.25,0.325,0.416,0.325,93,-8.3,-62.8,92.6,22.1
2010,team_batter,Rangers,2312,6302,162,787,740,123,0.081,0.156,0.143,0.307,0.276,0.338,0.419,0.333,98,4.5,-7.1,-9.5,21.7
2010,team_batter,Athletics,2255,6117,109,663,619,156,0.086,0.173,0.122,0.297,0.256,0.324,0.378,0.313,95,17.8,-20.6,0.6,20.6
2010,team_batter,Nationals,2410,6100,149,655,634,110,0.082,0.2,0.14,0.294,0.25,0.318,0.39,0.313,90,-11.3,-84.4,67.3,17
2010,team_batter,Marlins,2300,6194,152,719,686,92,0.083,0.222,0.149,0.309,0.254,0.321,0.403,0.318,92,22.5,-36.2,2.1,15.6
2010,team_batter,White Sox,2212,6118,177,752,710,160,0.076,0.151,0.152,0.292,0.268,0.332,0.42,0.332,100,-8.1,-7.7,-66.2,15
2010,team_batter,Mets,2348,6144,128,656,625,130,0.082,0.178,0.134,0.287,0.249,0.314,0.383,0.307,89,10.6,-70.9,31.1,14.8
2010,team_batter,Angels,2236,6089,155,681,656,104,0.077,0.176,0.142,0.281,0.248,0.311,0.39,0.31,94,-8.8,-54.2,-21.9,14.7
2010,team_batter,Cubs,2307,6140,149,685,658,55,0.078,0.201,0.145,0.304,0.257,0.32,0.401,0.318,90,-10.3,-81.7,33.1,13.9
2010,team_batter,Dodgers,2310,6140,120,667,621,92,0.087,0.193,0.127,0.299,0.252,0.322,0.379,0.309,92,1.3,-60.6,7,13.4
2010,team_batter,Rockies,2379,6265,173,770,741,99,0.093,0.203,0.162,0.31,0.263,0.336,0.425,0.333,91,9.3,-62.1,4.6,13.4
2010,team_batter,Indians,2255,6165,128,646,601,91,0.088,0.192,0.13,0.293,0.248,0.322,0.378,0.311,94,1.3,-40.7,-80,10.3
2010,team_batter,Royals,2190,6209,121,676,640,115,0.076,0.146,0.126,0.305,0.274,0.331,0.399,0.323,98,-28.4,-42.1,-81,10.3
2010,team_batter,Orioles,2240,6109,133,613,577,76,0.069,0.173,0.127,0.296,0.259,0.316,0.386,0.31,87,-21,-111.8,-11.8,9.8
2010,team_batter,Astros,2358,6005,108,611,577,100,0.069,0.171,0.115,0.285,0.247,0.303,0.362,0.295,79,-6.4,-156.6,30.7,5.5
2010,team_batter,Mariners,2104,5989,101,513,485,142,0.077,0.198,0.104,0.282,0.236,0.298,0.339,0.285,79,-1,-148.8,-45.4,2.1
2010,team_batter,Pirates,2327,5974,126,587,570,87,0.078,0.202,0.131,0.288,0.242,0.304,0.373,0.3,84,-5.8,-119,-42.2,1.7
2011,team_batter,Yankees,2301,6306,222,867,836,147,0.099,0.18,0.181,0.292,0.263,0.343,0.444,0.345,113,6.6,101.6,38.5,37
2011,team_batter,Red Sox,2269,6414,203,875,842,102,0.09,0.173,0.181,0.314,0.28,0.349,0.461,0.352,117,-12.2,114.3,16.2,36.4
2011,team_batter,Rangers,2186,6261,210,855,807,143,0.076,0.149,0.177,0.304,0.283,0.34,0.46,0.347,112,20.6,107.4,3.5,33.8
2011,team_batter,Brewers,2292,6113,185,721,693,94,0.079,0.177,0.164,0.293,0.261,0.325,0.425,0.327,103,0.3,20.6,84,30.6
2011,team_batter,Diamondbacks,2230,6096,172,731,702,133,0.087,0.205,0.163,0.294,0.25,0.322,0.413,0.322,97,9,-14.8,119.1,30.5
2011,team_batter,Reds,2358,6329,183,735,697,97,0.085,0.198,0.152,0.297,0.256,0.326,0.408,0.322,99,8.7,3.6,86,29.7
2011,team_batter,Cardinals,2403,6242,162,762,726,57,0.087,0.157,0.151,0.305,0.273,0.341,0.425,0.334,112,-16.5,72.3,16.4,29.3
2011,team_batter,Rays,2284,6152,172,707,674,155,0.093,0.194,0.159,0.281,0.244,0.322,0.402,0.319,103,10.4,35.1,21.3,27.7
2011,team_batter,Angels,2187,6088,155,667,629,135,0.073,0.178,0.149,0.288,0.253,0.313,0.402,0.313,98,-3.8,-14.6,37.3,23.9
2011,team_batter,Tigers,2309,6231,169,787,750,49,0.084,0.183,0.157,0.318,0.277,0.34,0.434,0.337,109,-15.2,48.5,-34.8,23.4
2011,team_batter,Royals,2134,6267,129,730,705,153,0.071,0.161,0.14,0.311,0.275,0.329,0.415,0.325,101,0.7,4.5,-29.5,19.4
2011,team_batter,Braves,2322,6169,173,641,606,77,0.082,0.204,0.144,0.284,0.243,0.308,0.387,0.306,91,-4.8,-70.5,63.8,19
2011,team_batter,Phillies,2203,6279,153,713,693,96,0.086,0.163,0.142,0.283,0.253,0.323,0.395,0.315,96,3.5,-29.5,19.3,19
2011,team_batter,Dodgers,2304,6094,117,644,613,126,0.082,0.178,0.118,0.299,0.257,0.322,0.375,0.307,95,10.2,-24.6,19.2,18.9
2011,team_batter,Giants,2370,6091,121,570,534,85,0.074,0.184,0.126,0.281,0.242,0.303,0.368,0.295,88,-6.5,-87.9,76.4,18.3
2011,team_batter,Mets,2383,6335,108,718,676,130,0.09,0.171,0.127,0.307,0.264,0.335,0.391,0.319,102,11.1,25,-50.8,17.5
2011,team_batter,Nationals,2341,6090,154,624,594,106,0.077,0.217,0.14,0.292,0.242,0.309,0.383,0.305,89,3.7,-73.4,52,17.2
2011,team_batter,Blue Jays,2265,6210,186,743,704,131,0.085,0.191,0.164,0.283,0.249,0.317,0.413,0.319,97,12.1,-11.6,-48,15.6
2011,team_batter,Padres,2355,6074,91,593,563,170,0.082,0.217,0.112,0.294,0.237,0.305,0.349,0.29,86,18.2,-77.3,32.5,14.7
2011,team_batter,Cubs,2373,6130,148,654,610,69,0.069,0.196,0.144,0.301,0.256,0.314,0.401,0.314,91,-17.7,-80.2,29.1,14.2
2011,team_batter,Marlins,2348,6232,149,625,596,95,0.087,0.2,0.142,0.291,0.247,0.318,0.388,0.311,92,2.1,-56.1,-3.3,13.7
2011,team_batter,Astros,2377,6150,95,615,579,118,0.065,0.189,0.116,0.308,0.258,0.311,0.374,0.301,88,-0.6,-89.1,24.9,12.9
2011,team_batter,Orioles,2262,6156,191,708,684,81,0.073,0.182,0.156,0.288,0.257,0.316,0.413,0.32,96,-11.3,-39.1,-51.2,12.1
2011,team_batter,White Sox,2206,6159,154,654,625,81,0.077,0.161,0.136,0.28,0.252,0.319,0.388,0.312,90,-9.9,-80,-15.1,11.6
2011,team_batter,Rockies,2348,6275,163,735,697,118,0.088,0.191,0.152,0.3,0.258,0.329,0.41,0.324,88,-1.8,-92.5,11.5,11.5
2011,team_batter,Indians,2287,6142,154,704,671,89,0.08,0.207,0.146,0.297,0.25,0.317,0.396,0.314,99,0.4,-8.5,-108.8,9.2
2011,team_batter,Athletics,2229,6104,114,645,612,117,0.083,0.179,0.125,0.283,0.244,0.311,0.369,0.301,89,-6.5,-82.2,-50,7.5
2011,team_batter,Pirates,2444,6064,107,610,580,108,0.081,0.216,0.123,0.301,0.244,0.309,0.368,0.299,87,-15.2,-103.1,-17.6,6.6
2011,team_batter,Twins,2269,6020,103,619,572,92,0.073,0.174,0.113,0.288,0.247,0.306,0.36,0.296,82,-6.5,-133.4,-25.6,4.4
2011,team_batter,Mariners,2090,5972,109,556,534,125,0.073,0.214,0.115,0.283,0.233,0.292,0.348,0.283,80,11.9,-124.4,-37.6,3.9
2012,team_batter,Yankees,2367,6231,245,804,774,93,0.091,0.189,0.188,0.293,0.265,0.337,0.453,0.342,113,2.3,97.3,17.3,34.2
2012,team_batter,Angels,2267,6121,187,767,732,134,0.073,0.182,0.159,0.311,0.274,0.332,0.433,0.331,113,13.5,109.8,5.9,34
2012,team_batter,Giants,2384,6200,103,718,675,118,0.078,0.177,0.128,0.315,0.269,0.327,0.397,0.314,101,13,22.4,69.3,29.2
2012,team_batter,Cardinals,2391,6326,159,765,732,91,0.084,0.188,0.15,0.316,0.271,0.338,0.421,0.329,106,-1.6,46.5,33.9,28.4
2012,team_batter,Brewers,2415,6224,202,776,741,158,0.075,0.199,0.177,0.299,0.259,0.325,0.437,0.329,102,12.1,29.5,53.9,28.4
2012,team_batter,Braves,2264,6126,149,700,660,101,0.093,0.21,0.142,0.296,0.247,0.32,0.389,0.31,92,7.2,-48.9,124.1,27.2
2012,team_batter,Reds,2211,6115,172,669,636,87,0.079,0.207,0.159,0.296,0.251,0.315,0.411,0.314,93,13.5,-36,82.7,24.2
2012,team_batter,Rays,2406,6105,175,697,665,134,0.094,0.217,0.155,0.284,0.24,0.317,0.394,0.311,100,-0.7,-1,21.4,23.9
2012,team_batter,Nationals,2338,6221,194,731,688,105,0.077,0.213,0.166,0.308,0.261,0.322,0.428,0.324,101,-4.1,4.7,34.8,23.8
2012,team_batter,Rangers,2236,6216,200,808,780,91,0.077,0.177,0.173,0.306,0.273,0.334,0.446,0.336,106,-5.8,39.5,-28.5,23.3
2012,team_batter,Padres,2384,6112,121,651,610,155,0.088,0.203,0.133,0.297,0.247,0.319,0.38,0.307,97,13.8,-8.4,35.4,22.1
2012,team_batter,Diamondbacks,2213,6150,165,734,710,93,0.088,0.206,0.159,0.307,0.259,0.328,0.418,0.323,97,-5.6,-30.7,54.7,21.9
2012,team_batter,Phillies,2294,6172,158,684,659,116,0.074,0.177,0.144,0.29,0.255,0.317,0.4,0.311,93,10.7,-40.8,60.4,21.5
2012,team_batter,Tigers,2248,6119,163,726,698,59,0.084,0.18,0.154,0.307,0.268,0.335,0.422,0.328,105,-17.8,15.4,-28.4,20.5
2012,team_batter,Red Sox,2317,6166,165,734,695,97,0.069,0.194,0.155,0.301,0.26,0.315,0.415,0.316,95,2.6,-37.1,20.7,20.3
2012,team_batter,White Sox,2277,6111,211,748,726,109,0.075,0.197,0.167,0.289,0.255,0.318,0.422,0.322,98,-7,-18.2,3.2,20.2
2012,team_batter,Athletics,2247,6183,195,713,676,122,0.089,0.224,0.166,0.281,0.238,0.31,0.404,0.311,97,19.4,0.3,-23.4,19.6
2012,team_batter,Mets,2420,6091,139,650,625,79,0.083,0.205,0.137,0.298,0.249,0.316,0.386,0.306,94,-3.2,-48.8,20.7,16.3
2012,team_batter,Orioles,2282,6160,214,712,677,58,0.078,0.213,0.17,0.286,0.247,0.311,0.417,0.317,96,-17.1,-44,-28.4,14.4
2012,team_batter,Blue Jays,2289,6094,198,716,677,123,0.078,0.205,0.161,0.281,0.245,0.309,0.407,0.311,92,2.5,-55.8,-21.5,13.6
2012,team_batter,Dodgers,2356,6091,116,637,607,104,0.079,0.19,0.122,0.298,0.252,0.317,0.374,0.302,90,-8.6,-81.9,21,12.8
2012,team_batter,Royals,2249,6149,131,676,643,132,0.066,0.168,0.135,0.302,0.265,0.317,0.4,0.311,94,-7.4,-50.8,-37.7,12.7
2012,team_batter,Twins,2271,6209,131,701,666,135,0.081,0.172,0.13,0.298,0.26,0.325,0.39,0.313,95,0.7,-32.5,-62.5,12.2
2012,team_batter,Cubs,2341,5967,137,613,570,94,0.075,0.207,0.138,0.286,0.24,0.302,0.378,0.297,81,-6,-138.9,68,11.4
2012,team_batter,Marlins,2269,6057,137,609,576,149,0.08,0.203,0.138,0.289,0.244,0.308,0.382,0.3,87,2.5,-92.9,10.9,10.5
2012,team_batter,Pirates,2360,6014,170,651,620,73,0.074,0.225,0.152,0.291,0.243,0.304,0.395,0.304,91,-0.3,-67.8,-16,10.2
2012,team_batter,Rockies,2429,6183,166,758,716,100,0.073,0.196,0.163,0.321,0.274,0.33,0.436,0.331,90,2.8,-73.8,-19.3,9.8
2012,team_batter,Mariners,2236,6057,149,619,584,104,0.077,0.208,0.135,0.276,0.234,0.296,0.369,0.291,87,0.1,-89.6,-29.8,9.1
2012,team_batter,Indians,2339,6195,136,667,635,110,0.09,0.175,0.131,0.288,0.251,0.324,0.381,0.31,97,-13.6,-37.7,-92.8,8.4
