Season,data_type,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2016,team_batter,Athletics,2343,6022,169,653,634,50,0.073,0.19,0.149,0.28,0.246,0.304,0.395,0.302,89,-22.2,-100.5,-74.8,3.3
2017,team_batter,Astros,2313,6271,238,896,854,98,0.081,0.173,0.196,0.309,0.282,0.346,0.478,0.349,122,-0.4,167.9,-39.7,34.2
2017,team_batter,Dodgers,2464,6191,221,770,730,77,0.105,0.223,0.188,0.293,0.249,0.334,0.437,0.33,104,5.8,40.6,96,33.7
2017,team_batter,Yankees,2294,6354,241,858,821,90,0.097,0.218,0.185,0.304,0.262,0.339,0.447,0.336,108,11.1,70.3,-2.4,28.5
2017,team_batter,Marlins,2399,6248,194,778,743,91,0.078,0.205,0.163,0.313,0.267,0.331,0.431,0.325,102,1.4,13.7,61,27.7
2017,team_batter,Indians,2367,6234,212,818,780,88,0.097,0.185,0.186,0.295,0.263,0.339,0.449,0.336,105,11.1,49.7,5.4,26.8
2017,team_batter,Cubs,2420,6283,223,822,785,62,0.099,0.223,0.182,0.302,0.255,0.338,0.437,0.331,101,-6.8,4.2,57.4,26.5
2017,team_batter,Cardinals,2416,6219,196,761,728,81,0.095,0.217,0.17,0.304,0.256,0.334,0.426,0.326,100,2,-1.4,59,25.9
2017,team_batter,Twins,2324,6261,206,815,781,95,0.095,0.214,0.174,0.306,0.26,0.334,0.434,0.329,102,14.4,30.6,0.5,24.5
2017,team_batter,Nationals,2322,6214,215,819,796,108,0.087,0.214,0.183,0.311,0.266,0.332,0.449,0.331,99,11.9,5,33.7,24
2017,team_batter,Mets,2396,6169,224,735,713,58,0.086,0.209,0.184,0.286,0.25,0.32,0.434,0.322,101,-11.3,-4.3,36.7,23.2
2017,team_batter,Mariners,2323,6166,200,750,714,89,0.079,0.205,0.165,0.3,0.259,0.325,0.424,0.321,104,-12.6,15,-12,21.4
2017,team_batter,Rays,2345,6147,228,694,671,88,0.089,0.25,0.178,0.296,0.245,0.317,0.422,0.316,98,11.2,-5.2,6.7,21.2
2017,team_batter,Diamondbacks,2360,6224,220,812,776,103,0.093,0.234,0.19,0.306,0.254,0.329,0.445,0.329,95,12.4,-27.9,27.1,20.1
2017,team_batter,Angels,2392,6073,186,710,678,136,0.086,0.197,0.155,0.277,0.243,0.315,0.397,0.307,93,1.4,-54.6,44.3,19.8
2017,team_batter,Reds,2321,6213,219,753,715,120,0.091,0.214,0.179,0.294,0.253,0.329,0.433,0.325,95,-5.3,-43.5,33.6,19.1
2017,team_batter,Red Sox,2334,6338,168,785,735,106,0.09,0.193,0.149,0.3,0.258,0.329,0.407,0.316,91,4.9,-65.3,36.3,18.8
2017,team_batter,Braves,2374,6216,165,732,706,77,0.076,0.19,0.15,0.305,0.263,0.326,0.412,0.316,89,4.3,-82.3,54.9,17.4
2017,team_batter,Brewers,2423,6135,224,732,695,128,0.089,0.256,0.18,0.308,0.249,0.322,0.429,0.321,93,2.4,-50.6,24.3,17.3
2017,team_batter,Athletics,2350,6126,234,739,708,57,0.092,0.243,0.19,0.294,0.246,0.319,0.436,0.323,102,-5.5,12,-50.7,17.1
2017,team_batter,Tigers,2336,6150,187,735,699,65,0.082,0.213,0.166,0.306,0.258,0.324,0.424,0.321,98,-19.8,-31.5,-40.5,13.9
2017,team_batter,Orioles,2351,6140,232,743,713,32,0.064,0.23,0.175,0.306,0.26,0.312,0.435,0.318,97,-14.9,-41.6,-31.3,13.8
2017,team_batter,White Sox,2289,6059,186,706,670,71,0.066,0.231,0.161,0.309,0.256,0.314,0.417,0.313,95,-1.9,-41.4,-39.4,12.7
2017,team_batter,Rockies,2374,6201,192,824,793,59,0.084,0.227,0.171,0.332,0.273,0.338,0.444,0.332,87,-6.4,-111.5,23.3,11.3
2017,team_batter,Blue Jays,2455,6154,222,693,661,53,0.088,0.216,0.172,0.276,0.24,0.312,0.412,0.312,93,-15.8,-73,-26.1,11.2
2017,team_batter,Royals,2342,6027,193,702,660,91,0.065,0.193,0.16,0.295,0.259,0.311,0.42,0.312,91,2.5,-61.9,-35.9,10.9
2017,team_batter,Pirates,2371,6136,151,668,635,67,0.085,0.198,0.142,0.286,0.244,0.318,0.386,0.304,85,-2.2,-117.7,26.3,10.8
2017,team_batter,Phillies,2308,6133,174,690,654,59,0.081,0.231,0.159,0.304,0.25,0.315,0.409,0.31,88,-9.5,-102,9.8,10.7
2017,team_batter,Rangers,2268,6122,237,799,756,113,0.089,0.244,0.186,0.291,0.244,0.32,0.43,0.321,91,6.3,-58.5,-51.2,10
2017,team_batter,Giants,2372,6137,128,639,612,76,0.076,0.196,0.132,0.294,0.249,0.309,0.38,0.296,82,2.6,-142.9,40.5,9.7
2017,team_batter,Padres,2342,5954,189,604,576,89,0.077,0.252,0.16,0.287,0.234,0.299,0.393,0.298,82,6.7,-132,16.6,7.8
2018,team_batter,Dodgers,2574,6358,235,804,756,75,0.102,0.226,0.191,0.294,0.25,0.333,0.442,0.333,111,11.4,99,41.6,35.1
2018,team_batter,Red Sox,2345,6302,208,876,829,125,0.09,0.199,0.185,0.309,0.268,0.339,0.453,0.34,110,-5.1,71.9,32,32.1
2018,team_batter,Yankees,2269,6271,267,851,821,63,0.1,0.227,0.202,0.285,0.249,0.329,0.451,0.335,111,14.6,93.6,-3.7,30.6
2018,team_batter,Athletics,2403,6255,227,813,778,35,0.088,0.221,0.187,0.294,0.252,0.325,0.439,0.329,110,-5.8,70.1,18.2,30.4
2018,team_batter,Indians,2413,6300,216,818,786,135,0.088,0.189,0.176,0.291,0.259,0.332,0.434,0.33,104,13.7,46.5,18.9,28.2
2018,team_batter,Brewers,2496,6210,218,754,711,124,0.086,0.235,0.172,0.302,0.252,0.323,0.424,0.322,99,8.2,1,69.7,27.4
2018,team_batter,Astros,2348,6146,205,797,763,71,0.092,0.195,0.17,0.289,0.255,0.329,0.425,0.327,110,-7,65.1,-14.5,26.1
2018,team_batter,Braves,2377,6251,175,759,717,90,0.082,0.206,0.161,0.302,0.257,0.324,0.417,0.319,97,12.6,-13.2,67.5,25.9
2018,team_batter,Cubs,2490,6369,167,761,722,66,0.09,0.218,0.152,0.313,0.258,0.333,0.41,0.321,100,2.2,-1.6,47.3,25.4
2018,team_batter,Angels,2467,6108,214,721,690,89,0.084,0.213,0.171,0.277,0.242,0.313,0.413,0.313,100,2.8,5.4,33.3,24.8
2018,team_batter,Cardinals,2464,6200,205,759,725,63,0.085,0.223,0.16,0.294,0.249,0.321,0.409,0.316,98,12.9,-1.1,45.6,24.7
2018,team_batter,Nationals,2441,6288,191,771,737,119,0.1,0.205,0.164,0.297,0.254,0.335,0.419,0.325,101,8.4,14,21.6,24.1
2018,team_batter,Rays,2371,6195,150,716,664,128,0.087,0.224,0.148,0.317,0.258,0.333,0.406,0.322,105,-0.3,39.8,-24.4,22.7
2018,team_batter,Diamondbacks,2409,6157,176,693,658,79,0.091,0.237,0.162,0.286,0.235,0.31,0.397,0.306,88,7.1,-84.3,81.2,19.7
2018,team_batter,Mariners,2373,6087,176,677,644,79,0.071,0.201,0.154,0.295,0.254,0.314,0.408,0.313,101,-7,0.6,-18.1,18.9
2018,team_batter,Pirates,2293,6066,157,692,665,70,0.078,0.203,0.154,0.298,0.254,0.317,0.407,0.312,96,-13.3,-45.4,28.9,18
2018,team_batter,Reds,2402,6240,172,696,665,77,0.09,0.221,0.148,0.307,0.254,0.328,0.401,0.317,95,-1.9,-40.2,9.3,17.1
2018,team_batter,Rockies,2368,6178,210,780,748,95,0.082,0.226,0.179,0.304,0.256,0.322,0.435,0.325,87,3.2,-94.1,52.3,15.7
2018,team_batter,Mets,2333,6177,170,676,649,71,0.092,0.227,0.154,0.283,0.234,0.312,0.389,0.305,95,2.6,-37.3,-7.8,15.4
2018,team_batter,Twins,2351,6154,166,738,704,47,0.087,0.216,0.155,0.298,0.25,0.318,0.405,0.313,95,0.6,-39.2,-18.8,15
2018,team_batter,Blue Jays,2435,6076,217,709,680,47,0.082,0.228,0.183,0.286,0.244,0.312,0.427,0.319,101,-27.1,-22.8,-46.9,13.5
2018,team_batter,Phillies,2474,6136,186,677,653,69,0.095,0.248,0.158,0.289,0.234,0.314,0.393,0.307,91,2.9,-64.3,-4.5,12.8
2018,team_batter,Royals,2184,6063,155,638,606,117,0.07,0.216,0.146,0.293,0.245,0.305,0.392,0.303,88,-7.4,-93.5,14.4,12.5
2018,team_batter,Rangers,2300,6163,194,737,696,74,0.09,0.241,0.164,0.292,0.24,0.318,0.404,0.315,90,7.2,-66.1,-20.8,12
2018,team_batter,Marlins,2434,6083,128,589,554,45,0.075,0.228,0.119,0.293,0.237,0.303,0.357,0.289,83,-15.8,-140.1,48.5,10.3
2018,team_batter,White Sox,2348,6071,182,656,639,98,0.07,0.263,0.16,0.304,0.241,0.302,0.401,0.304,92,-7.2,-66.7,-53.4,8.3
2018,team_batter,Padres,2380,6059,162,617,583,95,0.078,0.251,0.145,0.294,0.235,0.297,0.38,0.294,84,-5.7,-122.1,8.9,8
2018,team_batter,Tigers,2323,6029,135,630,597,70,0.071,0.222,0.138,0.293,0.241,0.3,0.38,0.295,84,6.4,-107.5,-18.4,7.5
2018,team_batter,Giants,2412,6113,133,603,573,77,0.073,0.24,0.129,0.299,0.239,0.3,0.368,0.29,82,-2.9,-140.9,10.9,6.5
2018,team_batter,Orioles,2313,6034,188,622,593,81,0.07,0.234,0.152,0.286,0.239,0.298,0.391,0.299,87,-9.6,-107,-74.8,1.8
2019,team_batter,Dodgers,1454,3956,170,548,531,34,0.099,0.207,0.21,0.296,0.264,0.345,0.473,0.342,113,3.6,74,42.2,23.8
2019,team_batter,Astros,1391,3900,161,520,507,47,0.098,0.181,0.204,0.294,0.271,0.346,0.475,0.345,120,-5.2,93.2,-9.8,21.5
2019,team_batter,Twins,1356,3819,181,542,520,24,0.078,0.204,0.224,0.299,0.27,0.336,0.494,0.347,115,-6.2,64.8,11.1,20.5
2019,team_batter,Red Sox,1447,3988,148,566,536,52,0.096,0.207,0.193,0.317,0.274,0.347,0.466,0.342,109,1.3,47.3,2,18.5
2019,team_batter,Cubs,1401,3759,155,501,482,25,0.1,0.236,0.201,0.302,0.256,0.337,0.458,0.334,105,-3,19.6,29.9,16.7
2019,team_batter,Diamondbacks,1424,3899,141,514,490,54,0.08,0.214,0.191,0.3,0.259,0.325,0.45,0.325,97,8.2,-7.9,49.8,16.4
2019,team_batter,Angels,1462,3868,142,511,487,40,0.094,0.181,0.18,0.285,0.259,0.335,0.439,0.328,108,-3.7,33.6,-3.4,16.2
2019,team_batter,Braves,1482,3898,154,527,510,49,0.093,0.223,0.195,0.305,0.261,0.336,0.456,0.333,102,2.6,13.3,26.8,16.2
2019,team_batter,Yankees,1358,3729,162,554,528,37,0.097,0.231,0.199,0.312,0.267,0.342,0.465,0.34,111,-1.7,50.9,-18.4,16
2019,team_batter,Athletics,1432,3853,162,520,487,32,0.086,0.199,0.2,0.277,0.251,0.324,0.451,0.327,106,-2.5,25.6,1.4,15.8
2019,team_batter,Brewers,1483,3894,168,487,473,68,0.096,0.243,0.203,0.294,0.249,0.328,0.452,0.327,99,4.4,-0.4,32.7,15.4
2019,team_batter,Rays,1458,3917,131,462,437,63,0.083,0.243,0.175,0.309,0.253,0.324,0.428,0.319,101,6.6,11.9,4.5,15
2019,team_batter,Phillies,1439,3796,124,476,454,39,0.095,0.227,0.175,0.291,0.244,0.323,0.419,0.314,92,2.7,-39.3,43.5,12.4
2019,team_batter,Padres,1430,3653,152,434,420,47,0.079,0.261,0.189,0.294,0.244,0.308,0.432,0.312,93,-6.6,-43,43.4,11.6
2019,team_batter,Mariners,1423,3893,166,500,486,69,0.094,0.25,0.201,0.285,0.241,0.318,0.443,0.321,105,5.8,28.9,-50.3,11.3
2019,team_batter,Mets,1467,3817,139,464,447,38,0.081,0.228,0.177,0.302,0.255,0.325,0.432,0.321,101,-11,-3.5,-4.5,11.3
2019,team_batter,Nationals,1384,3716,131,482,459,63,0.088,0.219,0.179,0.3,0.256,0.33,0.435,0.324,96,1.4,-20.8,9.1,10.6
2019,team_batter,Cardinals,1426,3664,119,439,413,61,0.088,0.223,0.159,0.288,0.244,0.318,0.402,0.308,89,6.6,-47.1,26.8,9.6
2019,team_batter,Indians,1375,3633,128,444,415,67,0.094,0.221,0.176,0.288,0.247,0.322,0.422,0.315,92,7.2,-30.9,1.1,9.6
2019,team_batter,Pirates,1440,3740,103,456,448,36,0.068,0.201,0.162,0.317,0.269,0.325,0.431,0.318,96,1.1,-19.9,-5.4,9.4
2019,team_batter,Rangers,1374,3774,140,519,491,79,0.09,0.263,0.192,0.31,0.25,0.323,0.442,0.323,94,10.8,-20.7,-20.1,9
2019,team_batter,Royals,1367,3754,96,437,416,91,0.076,0.228,0.156,0.305,0.25,0.313,0.407,0.306,88,0.9,-57.4,16.5,8.9
2019,team_batter,Giants,1461,3744,105,439,426,27,0.081,0.231,0.161,0.285,0.237,0.303,0.397,0.297,83,-5.3,-88,33.4,6.5
2019,team_batter,Reds,1459,3599,130,425,411,44,0.078,0.232,0.176,0.286,0.242,0.312,0.418,0.309,86,-9.4,-75.5,24.4,6.4
2019,team_batter,White Sox,1357,3521,110,406,386,45,0.065,0.254,0.151,0.321,0.257,0.312,0.408,0.307,91,5.6,-33.8,-25.7,6.3
2019,team_batter,Rockies,1445,3810,128,534,514,34,0.074,0.244,0.189,0.326,0.265,0.324,0.455,0.326,84,0.7,-81.7,10.2,5.1
2019,team_batter,Blue Jays,1404,3736,139,438,418,30,0.082,0.243,0.176,0.277,0.234,0.301,0.41,0.302,87,-2.1,-66,-18.8,4.6
2019,team_batter,Marlins,1401,3576,77,349,338,28,0.065,0.242,0.122,0.302,0.24,0.298,0.362,0.284,77,-12.7,-123.7,23.6,1.6
2019,team_batter,Orioles,1387,3647,118,413,388,45,0.07,0.239,0.162,0.292,0.242,0.302,0.404,0.3,85,-0.8,-70.5,-48.7,1
2019,team_batter,Tigers,1370,3540,87,346,331,38,0.07,0.262,0.151,0.298,0.234,0.292,0.385,0.288,77,0.7,-104.6,-31.9,-1.1
2008,team_batter,Cardinals,2396,6370,174,779,744,73,9.10%,15.50%,0.152,0.312,0.281,0.35,0.433,0.342,107,-10,46.4,93.3,34.2
2008,team_batter,Red Sox,2293,6402,173,845,807,120,10.10%,16.70%,0.168,0.315,0.28,0.358,0.447,0.351,110,-4.7,72.2,39.1,33.3
2008,team_batter,Phillies,2396,6273,214,799,762,136,9.30%,17.80%,0.182,0.283,0.255,0.332,0.438,0.334,98,23.6,4.7,122.7,32.6
2008,team_batter,Cubs,2345,6384,184,855,811,87,10.00%,18.60%,0.165,0.321,0.278,0.354,0.443,0.349,104,6.1,33.2,70,30.6
2008,team_batter,Rays,2299,6312,180,774,735,142,9.90%,19.40%,0.162,0.302,0.26,0.34,0.422,0.335,105,5.6,43.8,34.2,29.7
2008,team_batter,Mets,2405,6388,172,799,751,138,9.70%,16.00%,0.154,0.296,0.266,0.34,0.42,0.332,100,12.7,13.4,68.6,28.5
2008,team_batter,Braves,2407,6368,130,753,721,58,9.70%,16.10%,0.138,0.309,0.27,0.345,0.408,0.332,99,-5.8,-12.5,58.5,24.8
2008,team_batter,Brewers,2227,6252,198,750,722,108,8.80%,19.20%,0.179,0.287,0.253,0.325,0.431,0.329,97,8.9,-11.7,60.8,24.8
2008,team_batter,Indians,2199,6299,171,805,772,77,8.90%,19.30%,0.162,0.305,0.262,0.339,0.424,0.334,103,0.7,24.6,-7.8,23.5
2008,team_batter,Astros,2312,6051,167,712,684,114,7.40%,17.40%,0.152,0.296,0.263,0.323,0.415,0.322,94,0.4,-49.2,88.6,23.2
2008,team_batter,Rangers,2281,6478,194,901,867,81,9.20%,18.60%,0.179,0.325,0.283,0.354,0.462,0.355,112,11.1,108.1,-103.4,23
2008,team_batter,Yankees,2330,6257,180,789,758,118,8.60%,16.20%,0.156,0.302,0.271,0.342,0.427,0.338,104,-6.7,24.3,-28.6,21.3
2008,team_batter,Orioles,2340,6211,172,782,750,81,8.60%,15.90%,0.162,0.296,0.267,0.333,0.429,0.333,99,-5.1,-17,-1.7,19.7
2008,team_batter,Twins,2287,6331,111,829,791,102,8.40%,15.50%,0.129,0.316,0.279,0.34,0.408,0.328,99,12.3,4.7,-37.1,18.8
2008,team_batter,Marlins,2361,6206,208,770,741,76,8.70%,22.10%,0.179,0.3,0.254,0.326,0.433,0.33,96,5.7,-27.5,11.9,18.2
2008,team_batter,Angels,2229,6155,159,765,721,129,7.80%,16.00%,0.145,0.299,0.268,0.33,0.413,0.324,96,-1,-30.9,-4.4,17.8
2008,team_batter,Blue Jays,2244,6191,126,714,681,80,8.40%,15.20%,0.135,0.295,0.264,0.331,0.399,0.322,94,-10.9,-60.7,20.9,17.5
2008,team_batter,Tigers,2267,6331,200,821,780,63,9.00%,17.00%,0.173,0.301,0.271,0.34,0.444,0.343,106,-6.7,42.3,-93,16.9
2008,team_batter,Dodgers,2376,6194,137,700,659,126,8.80%,16.70%,0.134,0.301,0.264,0.333,0.399,0.321,93,5.1,-51.1,17.8,16.4
2008,team_batter,White Sox,2298,6231,235,811,785,67,8.70%,16.30%,0.185,0.281,0.263,0.332,0.448,0.339,101,-27.4,-17.7,-49.7,14.9
2008,team_batter,Athletics,2282,6138,125,646,610,88,9.40%,20.00%,0.127,0.289,0.242,0.318,0.369,0.306,86,12.4,-92.6,26.2,14.7
2008,team_batter,Reds,2392,6188,187,704,677,85,9.00%,18.20%,0.161,0.278,0.247,0.321,0.408,0.319,87,1.1,-103.3,49,14.3
2008,team_batter,Padres,2343,6244,154,637,615,36,8.30%,20.20%,0.14,0.294,0.25,0.317,0.39,0.311,92,-4.2,-63.7,-2.8,13.2
2008,team_batter,Giants,2382,6145,94,640,606,108,7.40%,17.00%,0.12,0.305,0.262,0.321,0.382,0.309,83,-15.4,-149.4,51.6,9.8
2008,team_batter,Diamondbacks,2280,6156,159,720,683,58,9.50%,20.90%,0.164,0.299,0.251,0.327,0.415,0.324,88,12.1,-83.9,-16.1,9.6
2008,team_batter,Nationals,2397,6192,117,641,608,81,8.60%,17.70%,0.122,0.292,0.251,0.323,0.373,0.31,84,-16.8,-145.4,30.9,8.3
2008,team_batter,Rockies,2310,6312,160,747,714,141,9.00%,19.20%,0.152,0.308,0.263,0.336,0.415,0.33,88,15.2,-80.7,-40.3,8
2008,team_batter,Royals,2250,6118,120,691,650,79,6.40%,16.40%,0.128,0.307,0.269,0.32,0.397,0.315,87,-9.5,-109.1,-27.7,7.6
2008,team_batter,Mariners,2296,6176,124,671,631,90,6.80%,14.40%,0.124,0.294,0.265,0.318,0.389,0.31,90,-8.9,-86.1,-57,7.2
2008,team_batter,Pirates,2340,6278,153,735,705,57,7.60%,16.50%,0.145,0.29,0.258,0.32,0.403,0.317,89,0.1,-89.2,-40.4,7.1
